Age,MonthlySalary,OvertimeHoursPerMonth,LeavesTaken,ProjectsHandled,TrainingHours,CustomerSatisfaction,YearsAtCompany,WorkLifeBalanceScore,PerformanceRating,Income_per_year,Gap_since_promotion,Satisfaction_score,Experience_ratio,Gender,Department,JobRole,EducationLevel,Country
57,93531.0,33,9,13,16,,9,1.9,4,1122372.0,6,,0.15789473684210525,Other,Finance,Auditor,2,India
26,53706.0,24,1,15,44,8.0,11,5.03,1,644472.0,12,6.515000000000001,0.4230769230769231,Female,Sales,Sales Executive,2,Canada
59,105756.0,20,7,7,62,7.0,15,4.83,4,1269072.0,14,5.915,0.2542372881355932,Other,Support,Helpdesk,1,Canada
43,176377.0,22,6,15,8,,10,4.6,4,2116524.0,10,,0.23255813953488372,Female,HR,HR Executive,3,Germany
52,154782.0,18,16,10,57,8.0,6,3.73,4,1857384.0,4,5.865,0.11538461538461539,Male,Sales,Account Manager,3,Germany
33,58647.0,34,5,6,5,6.0,7,2.37,3,703764.0,6,4.1850000000000005,0.21212121212121213,Other,Support,Helpdesk,2,Canada
55,70273.0,1,20,8,66,,7,6.47,1,843276.0,2,,0.12727272727272726,Male,IT,Engineer,2,France
51,178909.0,33,22,3,78,,9,-0.27,3,2146908.0,7,,0.17647058823529413,Female,HR,HR Executive,5,Germany
32,51014.0,40,11,6,10,,15,0.17,3,612168.0,3,,0.46875,Male,HR,HR Executive,2,USA
54,63726.0,21,19,1,25,,14,2.63,2,764712.0,2,,0.25925925925925924,Female,Finance,Accountant,3,Canada
52,64215.0,2,13,6,21,,10,7.43,3,770580.0,5,,0.19230769230769232,Other,HR,HR Executive,4,USA
55,76960.0,14,2,11,56,6.0,14,6.87,5,923520.0,9,6.4350000000000005,0.2545454545454545,Male,Support,Helpdesk,5,India
47,151391.0,8,20,12,7,,5,5.07,4,1816692.0,4,,0.10638297872340426,Male,Finance,Accountant,3,USA
50,170862.0,7,1,8,60,,13,8.43,4,2050344.0,4,,0.26,Female,HR,HR Manager,1,Canada
26,161974.0,6,3,15,76,,7,8.3,3,1943688.0,2,,0.2692307692307692,Male,IT,Developer,3,Canada
43,164012.0,1,19,10,10,,5,6.63,3,1968144.0,6,,0.11627906976744186,Female,Marketing,SEO Analyst,3,UK
41,70403.0,10,14,6,42,9.0,11,5.67,3,844836.0,7,7.335,0.2682926829268293,Other,Support,Support Engineer,3,USA
39,173689.0,21,11,3,76,,15,3.97,3,2084268.0,6,,0.38461538461538464,Female,IT,Tester,4,USA
47,122403.0,9,17,4,20,9.0,15,5.37,1,1468836.0,11,7.1850000000000005,0.3191489361702128,Male,Support,Helpdesk,2,India
23,65010.0,2,29,11,12,8.0,10,4.77,3,780120.0,11,6.385,0.43478260869565216,Other,Support,Support Engineer,1,Canada
