Employee_ID,Department,Role,Risk_Level,Attrition_Probability,Engagement_Score,Satisfaction_Score,Skill_Gap_Count,Top_Skill_Gaps,Recommended_Training
1,Finance,Auditor,MEDIUM,0.5334,2.94,3.02,1433,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
2,Sales,Sales Executive,HIGH,0.7897,2.94,3.02,670,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
3,Support,Helpdesk,LOW,0.1067,2.94,3.02,399,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
4,HR,HR Executive,LOW,0.2436,2.94,3.02,397,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
5,Sales,Account Manager,LOW,0.1411,2.94,3.02,671,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
6,Support,Helpdesk,MEDIUM,0.4192,2.94,3.02,399,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
7,IT,Engineer,LOW,0.0832,2.94,3.02,2492,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
8,HR,HR Executive,HIGH,0.6115,2.94,3.02,397,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
9,HR,HR Executive,MEDIUM,0.4902,2.94,3.02,397,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
10,Finance,Accountant,HIGH,0.783,2.94,3.02,1433,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
11,HR,HR Executive,LOW,0.0887,2.94,3.02,397,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
12,Support,Helpdesk,LOW,0.0707,2.94,3.02,400,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
13,Finance,Accountant,LOW,0.1216,2.94,3.02,1433,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
14,HR,HR Manager,LOW,0.0178,2.94,3.02,397,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
15,IT,Developer,LOW,0.0699,2.94,3.02,2491,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
16,Marketing,SEO Analyst,LOW,0.0564,2.94,3.02,175,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
17,Support,Support Engineer,LOW,0.0435,2.94,3.02,400,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
18,IT,Tester,MEDIUM,0.418,2.94,3.02,2492,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
19,Support,Helpdesk,LOW,0.0904,2.94,3.02,400,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
20,Support,Support Engineer,LOW,0.128,2.94,3.02,399,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
21,Support,Support Engineer,LOW,0.0551,2.94,3.02,399,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
22,Sales,Sales Executive,LOW,0.2498,2.94,3.02,669,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
23,IT,Tester,LOW,0.2831,2.94,3.02,2491,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
24,IT,Tester,MEDIUM,0.5025,2.94,3.02,2492,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
25,Marketing,Content Lead,MEDIUM,0.5113,2.94,3.02,175,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
26,Marketing,SEO Analyst,MEDIUM,0.5751,2.94,3.02,175,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
27,Sales,Sales Executive,HIGH,0.6864,2.94,3.02,669,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
28,Marketing,Content Lead,LOW,0.1405,2.94,3.02,175,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
29,Finance,Accountant,HIGH,0.6182,2.94,3.02,1433,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
30,Support,Support Engineer,MEDIUM,0.4899,2.94,3.02,399,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
31,IT,Developer,HIGH,0.6965,2.94,3.02,2494,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
32,Marketing,Content Lead,LOW,0.0706,2.94,3.02,175,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
33,IT,Tester,LOW,0.1229,2.94,3.02,2492,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
34,IT,Engineer,LOW,0.272,2.94,3.02,2491,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
35,Marketing,SEO Analyst,LOW,0.2114,2.94,3.02,176,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
36,Finance,Auditor,MEDIUM,0.5607,2.94,3.02,1433,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
37,Marketing,Content Lead,MEDIUM,0.5064,2.94,3.02,176,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
38,Finance,Accountant,HIGH,0.6451,2.94,3.02,1433,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
39,Finance,Auditor,MEDIUM,0.5577,2.94,3.02,1433,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
40,Finance,Auditor,LOW,0.0655,2.94,3.02,1433,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
41,Sales,Account Manager,LOW,0.0727,2.94,3.02,669,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
42,Marketing,Content Lead,LOW,0.0295,2.94,3.02,175,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
43,Marketing,Content Lead,LOW,0.0837,2.94,3.02,177,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
44,IT,Engineer,MEDIUM,0.5927,2.94,3.02,2494,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
45,Finance,Accountant,HIGH,0.647,2.94,3.02,1432,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
46,IT,Developer,HIGH,0.7291,2.94,3.02,2493,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
47,Sales,Account Manager,MEDIUM,0.4027,2.94,3.02,670,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
48,Sales,Sales Executive,MEDIUM,0.5454,2.94,3.02,670,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
49,Support,Helpdesk,LOW,0.0882,2.94,3.02,399,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
50,IT,Tester,MEDIUM,0.5139,2.94,3.02,2494,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
51,Sales,Sales Executive,MEDIUM,0.5515,2.94,3.02,669,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
52,Support,Support Engineer,MEDIUM,0.5069,2.94,3.02,400,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
53,Marketing,SEO Analyst,LOW,0.048,2.94,3.02,175,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
54,Finance,Auditor,LOW,0.0806,2.94,3.02,1434,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
55,Finance,Accountant,MEDIUM,0.5574,2.94,3.02,1433,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
56,IT,Developer,LOW,0.0699,2.94,3.02,2495,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
57,IT,Developer,LOW,0.1459,2.94,3.02,2491,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
58,Support,Helpdesk,LOW,0.0961,2.94,3.02,401,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
59,Marketing,SEO Analyst,MEDIUM,0.5671,2.94,3.02,177,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
60,HR,HR Executive,LOW,0.0428,2.94,3.02,396,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
61,HR,HR Manager,HIGH,0.6566,2.94,3.02,397,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
62,IT,Tester,LOW,0.2453,2.94,3.02,2493,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
63,HR,HR Manager,LOW,0.0708,2.94,3.02,397,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
64,Support,Helpdesk,LOW,0.1482,2.94,3.02,401,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
65,Sales,Account Manager,MEDIUM,0.4042,2.94,3.02,670,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
66,Marketing,Content Lead,MEDIUM,0.3494,2.94,3.02,176,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
67,Sales,Sales Executive,LOW,0.1642,2.94,3.02,670,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
68,Sales,Sales Executive,HIGH,0.7238,2.94,3.02,670,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
69,Sales,Account Manager,LOW,0.0244,2.94,3.02,670,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
70,Finance,Accountant,HIGH,0.7885,2.94,3.02,1434,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
71,HR,HR Executive,LOW,0.0631,2.94,3.02,396,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
72,Marketing,Content Lead,LOW,0.0608,2.94,3.02,175,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
73,IT,Developer,HIGH,0.6659,2.94,3.02,2494,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
74,Sales,Sales Executive,MEDIUM,0.3338,2.94,3.02,670,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
75,IT,Developer,MEDIUM,0.5089,2.94,3.02,2494,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
76,HR,HR Manager,LOW,0.0356,2.94,3.02,397,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
77,Sales,Sales Executive,LOW,0.128,2.94,3.02,671,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
78,Sales,Sales Executive,MEDIUM,0.3665,2.94,3.02,670,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
79,Marketing,Content Lead,LOW,0.037,2.94,3.02,175,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
80,HR,HR Manager,HIGH,0.7313,2.94,3.02,396,"['ACS Technologies HeadMaster', 'ADP Enterprise HR', 'ADP Workforce Now']",ERP Implementation & Management
81,Support,Helpdesk,LOW,0.1635,2.94,3.02,401,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
82,IT,Engineer,LOW,0.0451,2.94,3.02,2493,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
83,IT,Developer,HIGH,0.6547,2.94,3.02,2494,"['!Trak-it Solutions !Trak-it HR', '100 Plus Hatch Pattern Library', '1099 ProsSoftware']",3D Graphics Fundamentals
84,Finance,Auditor,LOW,0.2865,2.94,3.02,1433,"['24SevenOffice Project', '3M Post-it App', '3PL Central']",Business Analytics Tools
85,Sales,Sales Executive,HIGH,0.7383,2.94,3.02,670,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
86,Sales,Sales Executive,LOW,0.1159,2.94,3.02,670,"['3M Post-it App', 'ACT! Premium', 'ADP Drive DMS for Accounting']",Accounting Software Proficiency
87,Support,Support Engineer,LOW,0.0511,2.94,3.02,400,"['3DGrid HIPAA Checkup', 'A-Systems JobView', 'ADP Enterprise HR']",ERP Implementation & Management
88,Marketing,Content Lead,MEDIUM,0.4147,2.94,3.02,174,"['2AB iLock Security Services', '3M Post-it App', '911 system information databases']",Cybersecurity Fundamentals
