employee_id,department,gap_count,top_recommendation,training_duration,training_type,all_recommendations
1,Finance,1433,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
2,Sales,670,Accounting Software Proficiency,3 weeks,Software,"[{'missing_skill': 'ADP Drive DMS for Accounting', 'recommended_course': 'Accounting Software Proficiency', 'type': 'Software', 'duration': '3 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'AMS Services AMS Sagitta', 'recommended_course': 'Git Version Control', 'type': 'Technical', 'duration': '1 week'}]"
3,Support,399,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'API Healthcare ActiveStaffer', 'recommended_course': 'RESTful API Design', 'type': 'Technical', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}]"
4,HR,397,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}, {'missing_skill': 'Adobe After Effects', 'recommended_course': 'Adobe After Effects Motion Graphics', 'type': 'Software', 'duration': '4 weeks'}]"
5,Sales,671,Accounting Software Proficiency,3 weeks,Software,"[{'missing_skill': 'ADP Drive DMS for Accounting', 'recommended_course': 'Accounting Software Proficiency', 'type': 'Software', 'duration': '3 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'AMS Services AMS Sagitta', 'recommended_course': 'Git Version Control', 'type': 'Technical', 'duration': '1 week'}]"
6,Support,399,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'API Healthcare ActiveStaffer', 'recommended_course': 'RESTful API Design', 'type': 'Technical', 'duration': '2 weeks'}, {'missing_skill': 'Active Learning', 'recommended_course': 'Active Learning Techniques', 'type': 'Soft Skill', 'duration': '2 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}]"
7,IT,2492,3D Graphics Fundamentals,6 weeks,Technical,"[{'missing_skill': '3D graphics software', 'recommended_course': '3D Graphics Fundamentals', 'type': 'Technical', 'duration': '6 weeks'}]"
8,HR,397,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}, {'missing_skill': 'Adobe After Effects', 'recommended_course': 'Adobe After Effects Motion Graphics', 'type': 'Software', 'duration': '4 weeks'}]"
9,HR,397,ERP Implementation & Management,6 weeks,Software,"[{'missing_skill': 'ADP Enterprise HR', 'recommended_course': 'ERP Implementation & Management', 'type': 'Software', 'duration': '6 weeks'}, {'missing_skill': 'AJAX', 'recommended_course': 'AJAX & Asynchronous Web Development', 'type': 'Technical', 'duration': '3 weeks'}, {'missing_skill': 'Active Listening', 'recommended_course': 'Active Listening Workshop', 'type': 'Soft Skill', 'duration': '1 week'}, {'missing_skill': 'Adobe Acrobat', 'recommended_course': 'Adobe Acrobat Professional', 'type': 'Software', 'duration': '2 weeks'}, {'missing_skill': 'Adobe ActionScript', 'recommended_course': 'Adobe ActionScript Programming', 'type': 'Software', 'duration': '4 weeks'}, {'missing_skill': 'Adobe After Effects', 'recommended_course': 'Adobe After Effects Motion Graphics', 'type': 'Software', 'duration': '4 weeks'}]"
10,Finance,1433,Business Analytics Tools,3 weeks,Software,"[{'missing_skill': 'ACL Analytics', 'recommended_course': 'Business Analytics Tools', 'type': 'Software', 'duration': '3 weeks'}]"
