EmployeeID,current_skill
1,Excel
1,Problem Solving
1,Forecasting
1,Budgeting
1,Microsoft Word
1,PowerPoint
1,Teamwork
1,Financial Analysis
1,Microsoft Excel
2,Problem Solving
2,Lead Generation
2,Microsoft Word
2,Negotiation
2,Communication
2,Salesforce
2,PowerPoint
2,CRM
2,Pipeline Management
3,Problem Solving
3,Microsoft Word
3,Communication
3,Customer Service
3,Teamwork
3,Microsoft Excel
3,Ticketing Systems
3,Zendesk
4,Onboarding
4,BambooHR
4,Workday
4,Excel
4,Microsoft Word
4,Communication
4,Teamwork
4,Compliance
5,Excel
5,Problem Solving
5,Lead Generation
5,Negotiation
5,Communication
5,Teamwork
6,Excel
6,Problem Solving
6,Microsoft Word
6,Communication
6,Customer Service
6,Teamwork
6,Microsoft Excel
6,Ticketing Systems
6,Zendesk
7,Problem Solving
7,Python
7,Communication
7,Linux
7,Teamwork
7,Microsoft Excel
7,Kubernetes
7,AWS
8,Onboarding
8,BambooHR
8,Workday
8,Excel
8,Teamwork
8,Microsoft Excel
9,Onboarding
9,BambooHR
9,Excel
9,Microsoft Word
9,Communication
9,Compliance
9,Recruitment
10,Problem Solving
10,Budgeting
10,Microsoft Word
10,PowerPoint
10,Teamwork
10,Financial Analysis
10,Microsoft Excel
11,Onboarding
11,BambooHR
11,Problem Solving
11,Microsoft Word
11,Communication
11,Compliance
11,Recruitment
12,Excel
12,Problem Solving
12,Microsoft Word
12,Communication
12,Customer Service
12,Teamwork
12,Ticketing Systems
13,QuickBooks
13,Problem Solving
13,Budgeting
13,Microsoft Word
13,Forecasting
13,PowerPoint
13,Teamwork
13,Microsoft Excel
14,BambooHR
14,Excel
14,Problem Solving
14,Microsoft Word
14,Communication
14,Teamwork
14,Compliance
15,Git
15,REST APIs
15,Docker
15,Problem Solving
15,Microsoft Word
15,Python
15,SQL
15,Teamwork
15,Microsoft Excel
15,AWS
16,Excel
16,Problem Solving
16,Microsoft Word
16,HubSpot
16,PowerPoint
16,Microsoft Excel
16,Content Creation
17,Excel
17,Problem Solving
17,Microsoft Word
17,Communication
17,Customer Service
17,Ticketing Systems
17,Zendesk
18,Docker
18,Problem Solving
18,Microsoft Word
18,Linux
18,SQL
18,CI/CD
18,Azure
18,Teamwork
18,Microsoft Excel
19,Problem Solving
19,Microsoft Word
19,Communication
19,Teamwork
19,Zendesk
20,Excel
20,Problem Solving
20,Microsoft Word
20,Communication
20,Customer Service
20,Microsoft Excel
20,Ticketing Systems
20,Zendesk
21,Problem Solving
21,Microsoft Word
21,Communication
21,Customer Service
21,Microsoft Excel
21,Ticketing Systems
21,Zendesk
22,Excel
22,Microsoft Word
22,Negotiation
22,HubSpot
22,Salesforce
22,PowerPoint
22,Teamwork
22,Microsoft Excel
23,Java
23,Problem Solving
23,Microsoft Word
23,Python
23,Linux
23,SQL
23,CI/CD
23,Teamwork
23,Microsoft Excel
23,Kubernetes
24,Git
24,Problem Solving
24,Communication
24,Linux
24,Teamwork
24,Microsoft Excel
24,Kubernetes
25,Google Analytics
25,Excel
25,Microsoft Word
25,Communication
25,HubSpot
25,PowerPoint
25,Content Creation
25,Social Media
26,SEO
26,Excel
26,Problem Solving
26,Microsoft Word
26,Communication
26,PowerPoint
26,Microsoft Excel
26,Content Creation
26,Social Media
27,Problem Solving
27,Lead Generation
27,Microsoft Word
27,Negotiation
27,Salesforce
27,Microsoft Excel
28,SEO
28,Excel
28,Problem Solving
28,Microsoft Word
28,HubSpot
28,PowerPoint
28,Microsoft Excel
28,Content Creation
29,Problem Solving
29,Budgeting
29,Forecasting
29,Microsoft Word
29,SAP
29,SQL
29,PowerPoint
29,Financial Analysis
30,Problem Solving
30,Microsoft Word
30,Communication
30,Customer Service
30,Teamwork
30,Microsoft Excel
30,Ticketing Systems
30,Zendesk
31,Java
31,Communication
31,SQL
31,Teamwork
31,Microsoft Excel
31,Kubernetes
32,Excel
32,Problem Solving
32,Microsoft Word
32,Communication
32,PowerPoint
32,Microsoft Excel
32,Content Creation
33,Git
33,Docker
33,Problem Solving
33,Communication
33,Linux
33,Teamwork
33,Microsoft Excel
34,Git
34,REST APIs
34,Docker
34,Microsoft Word
34,Communication
34,Linux
34,Teamwork
34,Microsoft Excel
34,AWS
35,Excel
35,Microsoft Word
35,Communication
35,HubSpot
35,PowerPoint
35,Content Creation
35,Social Media
36,Excel
36,QuickBooks
36,Problem Solving
36,Budgeting
36,Communication
36,SAP
36,SQL
36,Financial Analysis
36,Microsoft Excel
37,Communication
37,HubSpot
