O*NET-SOC Code,Title,Description,Essential_Skills,Software_Skills,Hot_Technologies
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.","['Speaking', 'Critical Thinking', 'Writing', 'Monitoring', 'Reading Comprehension']","['Graphic presentation software', 'Microsoft Publisher', 'Oracle PeopleSoft', 'SmugMug Flickr', 'Online advertising reporting software', 'Listserv software', 'Microsoft SharePoint', 'Halogen ePraisal', 'Fund accounting software', 'SAP software', 'Halogen e360', ""Blackbaud The Raiser's Edge"", 'ComputerEase construction accounting software', 'Adobe Acrobat', 'Infor SSA Human Capital Management', 'Structured query language SQL', 'Intuit QuickBooks', 'Mentimeter', 'Microsoft PowerPoint', 'Oracle Siebel Server Sync', 'Email software', 'Microsoft Project', 'Microsoft Word', 'HCSS HeavyBid', 'Database reporting software', 'Microsoft Dynamics', 'Microsoft FRx', 'Extensible markup language XML', 'Norchard Solutions Succession Wizard', 'Microsoft Dynamics AX', 'AdSense Tracker', 'HCSS HeavyJob', 'Microsoft Excel', 'Oracle E-Business Suite', 'Atlassian JIRA', 'Microsoft Office software', 'Exact Software Macola ES Labor Performance', 'PHP', 'Sage 50 Accounting', 'Microsoft Access', 'Relational database management software', 'Databox', 'Human resource information system (HRIS)', 'Nedstat Sitestat', 'Web browser software', 'Lyris HQ Web-Analytics Solution', 'Microsoft Outlook', 'Microsoft Dynamics GP']","['Adobe Acrobat', 'Microsoft Project', 'Microsoft Word', 'Structured query language SQL', 'Intuit QuickBooks', 'Atlassian JIRA', 'Microsoft Office software', 'PHP', 'Oracle PeopleSoft', 'Microsoft Access', 'Extensible markup language XML', 'Microsoft PowerPoint', 'Microsoft SharePoint', 'SAP software', 'Microsoft Outlook', 'Microsoft Excel']"
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.","['Active Listening', 'Speaking', 'Critical Thinking', 'Writing', 'Reading Comprehension']","['Tableau', 'Microsoft SharePoint', 'Management information systems MIS', 'SAP software', 'Adobe Acrobat', 'Microsoft PowerPoint', 'Email software', 'Microsoft Project', 'Microsoft Word', 'Scheduling software', 'Teleconferencing software', 'Facebook', 'Adobe Photoshop', 'Salesforce software', 'Microsoft Excel', 'Microsoft Office software', 'Microsoft Access', 'Structure query language SQL', 'Web browser software', 'Microsoft Outlook', 'Microsoft Dynamics GP']","['Adobe Acrobat', 'Microsoft Project', 'Microsoft Word', 'Microsoft Office software', 'Tableau', 'Microsoft Access', 'Microsoft PowerPoint', 'Microsoft SharePoint', 'Facebook', 'Adobe Photoshop', 'SAP software', 'Salesforce software', 'Microsoft Outlook', 'Microsoft Excel']"
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.","['Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Reading Comprehension']","['Oracle E-Business Suite Financials', 'Oracle Eloqua', 'SAP Business Objects', 'Teradata Database', 'IBM Notes', 'Veritas NetBackup', 'YouTube', 'Airtable', 'Google Ads', 'Apache Hadoop', 'Citrix cloud computing software', 'Minitab', 'Job control language JCL', 'Maximizer Software Maximizer Enterprise', 'Microsoft Internet Explorer', 'Oracle Taleo', 'ActionWare', 'Apple Final Cut Pro', 'Splunk Enterprise', 'Amazon Web Services AWS software', 'Vanguard Software Vanguard Sales Manager', 'Kronos Workforce Timekeeper', 'Oracle PeopleSoft Financials', 'Oracle Database', 'Microsoft Visual Basic for Applications VBA', 'Blackboard software', 'IBM SPSS Statistics', 'Kronos Workforce Payroll', 'Extensible markup language XML', 'Social media sites', 'Google Analytics', 'Facebook', 'Adobe Photoshop', 'HEAT Software GoldMine', 'AMG Teleran SalesInSync', 'Adobe Creative Cloud software', 'Microsoft OneNote', 'Microsoft Visio', 'Realization Streamliner', 'ADP Workforce Now', 'IBM Power Systems software', 'Microsoft Outlook', 'Siemens NX', 'Microsoft Dynamics GP', 'Evernote', 'Payroll software', 'Dropbox', 'Microsoft Publisher', 'Oracle PeopleSoft', 'Savant MobileRanger', 'Puppet', 'Yardi software', 'vtiger CRM', 'SAP software', 'LexisNexis', 'Microsoft Exchange', 'IBM Cognos Impromptu', 'Oracle Primavera Enterprise Project Portfolio Management', 'Qlik Tech QlikView', 'InnQuest Software roomMaster', 'Structured query language SQL', 'HubSpot software', 'Intuit QuickBooks', 'Software on Sailboats Desktop Sales Manager', 'Apple Keynote', 'Shell script', 'Tax software', 'Microsoft Project', 'Microsoft Word', 'Oracle Business Intelligence Enterprise Edition', 'Sugar CRM', 'Microsoft SQL Server', 'Salesforce.com Salesforce CRM', 'Human resource management software HRMS', 'MicroStrategy', 'The MathWorks MATLAB', 'Microsoft Excel', 'Nagios', 'Microsoft Office software', 'Oracle Fusion Applications', 'NetSuite ERP', 'Deacom ERP', 'IBM InfoSphere DataStage', 'Google Drive', 'Customer information control system CICS', 'Geographic information system GIS software', 'PostgreSQL', 'Slack', 'LinkedIn', 'Adobe Acrobat', 'Apple macOS', 'Mozilla Firefox', 'Microsoft Visual Basic', 'Oracle Solaris', 'GroupMe', 'Database software', 'Microsoft FrontPage', 'Google Slides', 'CNC Mastercam', 'Sage MAS 500', 'LSA Visual Easy Lean', 'R', 'Quest Erwin Data Modeler', 'StataCorp Stata', 'Eko', 'Supervisory control and data acquisition SCADA software', 'Microsoft Windows', 'Salesforce software', 'Datawatch Monarch', 'Marketo Marketing Automation', 'Atlassian JIRA', 'Oracle JD Edwards EnterpriseOne', 'IBM Domino', 'Sage 50 Accounting', 'SAP Crystal Reports', 'McAfee', 'Screencastify', 'FileMaker Pro', 'Avidian Technologies Prophet', 'Flipgrid', 'Tableau', 'SAS', 'Microsoft SharePoint', 'NortonLifeLock cybersecurity software', 'Fund accounting software', ""Blackbaud The Raiser's Edge"", 'Google Docs', 'Oracle Hyperion', 'Microsoft PowerPoint', 'Medical condition coding software', 'Atlassian Confluence', 'Dynamic Energy Systems MedAct', 'Microsoft Dynamics', 'NetSuite NetCRM', 'SeaMonkey', 'Personnel scheduling software', 'Autodesk AutoCAD', 'Delphi Technology', 'Mozilla Thunderbird', 'Microsoft Access', 'Act!']","['Teradata Database', 'PostgreSQL', 'Oracle PeopleSoft', 'Slack', 'Tableau', 'SAS', 'Puppet', 'Yardi software', 'Microsoft SharePoint', 'Apache Hadoop', 'SAP software', 'Oracle Primavera Enterprise Project Portfolio Management', 'Adobe Acrobat', 'Google Docs', 'Structured query language SQL', 'HubSpot software', 'Intuit QuickBooks', 'Apple macOS', 'Mozilla Firefox', 'Microsoft Visual Basic', 'Microsoft PowerPoint', 'Shell script', 'Splunk Enterprise', 'Amazon Web Services AWS software', 'Kronos Workforce Timekeeper', 'Microsoft Project', 'Microsoft Word', 'Oracle Database', 'Atlassian Confluence', 'Microsoft SQL Server', 'R', 'Microsoft Visual Basic for Applications VBA', 'IBM SPSS Statistics', 'Extensible markup language XML', 'Google Analytics', 'Facebook', 'Adobe Photoshop', 'Microsoft Windows', 'Salesforce software', 'Adobe Creative Cloud software', 'Microsoft Excel', 'The MathWorks MATLAB', 'Autodesk AutoCAD', 'Marketo Marketing Automation', 'Atlassian JIRA', 'Microsoft Office software', 'Microsoft Visio', 'Microsoft Access', 'Microsoft Outlook']"
11-1031.00,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",[],"['Apple iWork Pages', 'Windows Media Player', 'XMetaL Author', 'Meeting scheduling software', 'PTC Arbortext', 'iAnnotate', 'Microsoft SharePoint', 'Microsoft Exchange', 'Legislative Automative Workflow System LAWS', 'Adobe Acrobat', 'Structured query language SQL', 'LogMeIn GoToMeeting', 'Microsoft Visual Basic', 'GoodReader', 'Rocket/Folio NXT', 'Adobe FrameMaker', 'Penultimate', 'Microsoft Word', 'Antenna House', 'Microsoft SQL Server', 'Apple Numbers for Mac', 'Microsoft Outlook', 'Mapping software', 'Microsoft Excel', 'Microsoft Office software', 'IBM Domino', 'Apple iWork Keynote', 'Corel WordPerfect Office Suite', 'Microsoft Access', 'Web browser software', 'Cisco Webex', 'Cisco AnyConnect']","['Adobe Acrobat', 'Microsoft Word', 'Structured query language SQL', 'Microsoft Office software', 'Microsoft SQL Server', 'Microsoft Visual Basic', 'Microsoft Access', 'Microsoft SharePoint', 'Cisco Webex', 'Microsoft Outlook', 'Microsoft Excel']"
11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.","['Active Listening', 'Speaking', 'Critical Thinking', 'Writing', 'Reading Comprehension']","['MarketSharp', 'Oracle Eloqua', 'Microsoft Publisher', 'YouTube', 'Tableau', 'Adobe After Effects', 'Google Ads', 'Microsoft SharePoint', 'LinkedIn', 'Avid Media Composer', 'Hypertext markup language HTML', 'Google DoubleClick', 'SAP software', 'WordPress', 'Adobe Acrobat', 'HubSpot software', 'Relex Weibull', 'Microsoft Dynamics Marketing', 'Experience in Software Webplanner', 'Pinterest', 'Webtrends software', 'Adobe Acrobat Reader', 'Database software', 'MailChimp', 'Drupal', 'Microsoft PowerPoint', 'Apple Final Cut Pro', 'JavaScript', 'Adobe Illustrator', 'WebTrends Analytics', 'Email software', 'Data warehousing software', 'Business analysis software', 'Microsoft Project', 'Microsoft Word', 'Scheduling software', 'Twitter', 'Constant Contact', 'Microsoft SQL Server', 'Adobe Dreamweaver', 'Hootsuite', 'Microsoft Dynamics', 'Social media software', 'Extensible markup language XML', 'Google Analytics', 'Adobe Premiere Pro', 'Adobe Photoshop', 'Brainworks', 'Actuate BIRT', 'Data visualization software', 'Facebook', 'Inventory tracking software', 'Adobe Creative Cloud software', 'Microsoft Excel', 'PaloAlto Advertising Plan Pro', 'Apple iMovie', 'Salesforce software', 'AdRelevance', 'Marketo Marketing Automation', 'Instagram', 'Microsoft Office software', 'Microsoft Windows', 'Vimeo', 'Adobe Experience Manager (AEM)', 'IBM Lotus Notes', 'Quark enterprise publishing software', 'Microsoft Access', 'Structure query language SQL', 'Adobe PageMaker', 'Web browser software', 'Adobe InDesign', 'Microsoft Outlook']","['Tableau', 'Adobe After Effects', 'Microsoft SharePoint', 'Hypertext markup language HTML', 'SAP software', 'WordPress', 'Adobe Acrobat', 'HubSpot software', 'Microsoft PowerPoint', 'JavaScript', 'Adobe Illustrator', 'Microsoft Project', 'Microsoft Word', 'Microsoft SQL Server', 'Extensible markup language XML', 'Google Analytics', 'Facebook', 'Adobe Photoshop', 'Microsoft Windows', 'Salesforce software', 'Adobe Creative Cloud software', 'Microsoft Excel', 'Marketo Marketing Automation', 'Microsoft Office software', 'Microsoft Access', 'Adobe InDesign', 'Microsoft Outlook']"
11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.","['Active Learning', 'Active Listening', 'Speaking', 'Critical Thinking', 'Reading Comprehension']","['MarketSharp', 'Oracle E-Business Suite Financials', 'Oracle Eloqua', 'SAP Business Objects', 'Teradata Database', 'IBM Notes', 'YouTube', 'Online advertising reporting software', 'Airtable', 'Google Ads', 'Apache Hadoop', 'Citrix cloud computing software', 'Python', 'Minitab', 'Adobe Acrobat Reader', 'Apple Final Cut Pro', 'Splunk Enterprise', 'Amazon Web Services AWS software', 'Oracle Siebel Server Sync', 'Oracle PeopleSoft Financials', 'Oracle Database', 'Microsoft Visual Basic for Applications VBA', 'IBM SPSS Statistics', 'Dynamic hypertext markup language DHTML', 'Extensible markup language XML', 'Social media sites', 'Google Analytics', 'Facebook', 'Adobe Photoshop', 'AdSense Tracker', 'Adobe Creative Cloud software', 'Extensible hypertext markup language XHTML', 'Microsoft Visio', 'GitHub', 'IBM Power Systems software', 'Microsoft Outlook', 'Apache Cassandra', 'Evernote', 'Dropbox', 'Microsoft Publisher', 'Padlet', 'QAD Marketing Automation', 'Oracle PeopleSoft', 'Yardi software', 'Ruby on Rails', 'SAP software', 'LexisNexis', 'Microsoft Visual Basic Scripting Edition VBScript', 'IBM Cognos Impromptu', 'Qlik Tech QlikView', 'LAMP Stack', 'Structured query language SQL', 'HubSpot software', 'Intuit QuickBooks', 'TikTok', 'C', 'Apple Keynote', 'Oracle PL/SQL', 'Tax software', 'Adobe Illustrator', 'Apache Solr', 'Armand Morin MultiTrack Generator', 'Microsoft Project', 'Microsoft Word', 'Oracle Business Intelligence Enterprise Edition', 'Constant Contact', 'Microsoft SQL Server', 'Adobe Dreamweaver', 'NoSQL', 'Salesforce.com Salesforce CRM', 'Google Looker Analytics', 'MicroStrategy', 'The MathWorks MATLAB', 'Microsoft Excel', 'Jupyter Notebook', 'Microsoft Office software', 'Oracle Fusion Applications', 'NetSuite ERP', 'Databox', 'Nedstat Sitestat', 'IBM InfoSphere DataStage', 'Adobe InDesign', 'Google Drive', 'Kapwing', 'Slack', 'LinkedIn', 'Adobe Acrobat', 'Figma', 'Apache Hive', 'AEC Software FastTrack Schedule', 'Apple macOS', 'Microsoft Visual Basic', 'Database software', 'JavaScript', 'Google Slides', 'Database reporting software', 'R', 'JamBoard', 'StataCorp Stata', 'Eko', 'Salesforce software', 'Sage SalesLogix', 'LogMeIn GoToWebinar', 'Marketo Marketing Automation', 'Atlassian JIRA', 'Instagram', 'PHP', 'IBM Domino', 'Oracle Beehive', 'McAfee', 'Screencastify', 'Lyris HQ Web-Analytics Solution', 'FileMaker Pro', 'Microsoft Azure software', 'Apache Pig', 'Ruby', 'SmugMug Flickr', 'Flipgrid', 'Tableau', 'SAS', 'Adobe After Effects', 'Microsoft SharePoint', 'Nearpod', 'NortonLifeLock cybersecurity software', 'Amazon Redshift', 'Hypertext markup language HTML', 'Fund accounting software', 'ClearEDGE', ""Blackbaud The Raiser's Edge"", 'Software as a service SaaS', 'Google Meet', 'WeVideo', 'Google Docs', 'WordPress', 'LogMeIn GoToMeeting', 'Mentimeter', 'Cascading style sheets CSS', 'Oracle Hyperion', 'Canva', 'Drupal', 'Microsoft PowerPoint', 'Swift', 'Atlassian Confluence', 'Microsoft Dynamics', 'Screencast-O-Matic', 'MySQL', 'Adobe ActionScript', 'Microsoft Teams', 'Asana', 'Delphi Technology', 'Elasticsearch', 'Oracle JavaServer Pages JSP', 'Microsoft Access', 'Web browser software']","['Teradata Database', 'Ruby', 'Oracle PeopleSoft', 'Slack', 'Tableau', 'SAS', 'Yardi software', 'Adobe After Effects', 'Microsoft SharePoint', 'Apache Hadoop', 'Amazon Redshift', 'Hypertext markup language HTML', 'Python', 'SAP software', 'WordPress', 'Adobe Acrobat', 'Figma', 'Google Docs', 'Apache Hive', 'HubSpot software', 'Apple macOS', 'Intuit QuickBooks', 'Structured query language SQL', 'Cascading style sheets CSS', 'Microsoft Visual Basic', 'TikTok', 'C', 'Canva', 'Microsoft PowerPoint', 'JavaScript', 'Oracle PL/SQL', 'Splunk Enterprise', 'Adobe Illustrator', 'Amazon Web Services AWS software', 'Swift', 'Microsoft Project', 'Microsoft Word', 'Oracle Database', 'Atlassian Confluence', 'Microsoft SQL Server', 'R', 'Microsoft Visual Basic for Applications VBA', 'NoSQL', 'IBM SPSS Statistics', 'Extensible markup language XML', 'Google Looker Analytics', 'Microsoft Outlook', 'Google Analytics', 'Facebook', 'Adobe Photoshop', 'MySQL', 'Microsoft Teams', 'Salesforce software', 'Adobe Creative Cloud software', 'Microsoft Excel', 'The MathWorks MATLAB', 'Asana', 'Marketo Marketing Automation', 'Atlassian JIRA', 'Microsoft Office software', 'Microsoft Visio', 'PHP', 'Elasticsearch', 'GitHub', 'Microsoft Access', 'Adobe InDesign', 'Microsoft Azure software', 'Apache Cassandra']"
11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.","['Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Reading Comprehension']","['Oracle E-Business Suite Financials', 'Oracle Eloqua', 'SAP Business Objects', 'Teradata Database', 'IBM Notes', 'YouTube', 'Airtable', 'Google Ads', 'Minitab', 'Maximizer Software Maximizer Enterprise', 'Oracle Taleo', 'Splunk Enterprise', 'Vanguard Software Vanguard Sales Manager', 'Zoom', 'Oracle PeopleSoft Financials', 'Oracle Database', 'Microsoft Visual Basic for Applications VBA', 'IBM SPSS Statistics', 'Social media sites', 'Google Analytics', 'Facebook', 'HEAT Software GoldMine', 'Adobe Creative Cloud software', 'Workforce management software', 'Microsoft Visio', 'IBM Power Systems software', 'Microsoft Outlook', 'Microsoft Dynamics GP', 'Dropbox', 'Microsoft Publisher', 'Poll Everywhere', 'Oracle PeopleSoft', 'Yardi software', 'Inventory software', 'SAP software', 'LexisNexis', 'Microsoft Exchange', 'IBM Cognos Impromptu', 'Oracle Primavera Enterprise Project Portfolio Management', 'Qlik Tech QlikView', 'Structured query language SQL', 'HubSpot software', 'Software on Sailboats Desktop Sales Manager', 'Apple Keynote', 'Contact management software', 'Tax software', 'Delphi Discovery', 'Microsoft Project', 'Microsoft Word', 'Oracle Business Intelligence Enterprise Edition', 'Microsoft SQL Server', 'Salesforce.com Salesforce CRM', 'Human resource management software HRMS', 'MicroStrategy', 'Microsoft Excel', 'Microsoft Office software', 'Oracle Fusion Applications', 'NetSuite ERP', 'Google Drive', 'Geographic information system GIS software', 'LinkedIn', 'Adobe Acrobat', 'Microsoft Visual Basic', 'Database software', 'Google Slides', 'Scheduling software', 'R', 'Eko', 'Microsoft Windows', 'Salesforce software', 'Marketo Marketing Automation', 'Oracle JD Edwards EnterpriseOne', 'Sage 50 Accounting', 'SAP Crystal Reports', 'McAfee', 'FileMaker Pro', 'Microsoft Azure software', 'Avidian Technologies Prophet', 'Google Sites', 'Eclipse IDE', 'SmugMug Flickr', 'Tableau', 'SAS', 'Microsoft SharePoint', 'NortonLifeLock cybersecurity software', 'Hypertext markup language HTML', ""Blackbaud The Raiser's Edge"", 'Google Meet', 'Google Docs', 'LogMeIn GoToMeeting', 'Oracle Hyperion', 'Microsoft PowerPoint', 'Bentley MicroStation', 'Microsoft Dynamics', 'NetSuite NetCRM', 'Adobe ActionScript', 'Microsoft Teams', 'Delphi Technology', 'Eden Sales Manager', 'Microsoft Access', 'SAP BusinessObjects Crystal Reports', 'Web browser software', 'Act!']","['Teradata Database', 'Oracle PeopleSoft', 'Eclipse IDE', 'Tableau', 'SAS', 'Yardi software', 'Microsoft SharePoint', 'Hypertext markup language HTML', 'SAP software', 'Oracle Primavera Enterprise Project Portfolio Management', 'Adobe Acrobat', 'Google Docs', 'Structured query language SQL', 'HubSpot software', 'Microsoft Visual Basic', 'Microsoft PowerPoint', 'Splunk Enterprise', 'Bentley MicroStation', 'Zoom', 'Microsoft Project', 'Microsoft Word', 'Oracle Database', 'R', 'Microsoft SQL Server', 'Microsoft Visual Basic for Applications VBA', 'IBM SPSS Statistics', 'Google Analytics', 'Facebook', 'Microsoft Windows', 'Salesforce software', 'Microsoft Teams', 'Adobe Creative Cloud software', 'Microsoft Excel', 'Marketo Marketing Automation', 'Microsoft Office software', 'Microsoft Visio', 'Microsoft Azure software', 'Microsoft Access', 'Microsoft Outlook']"
11-2032.00,Public Relations Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.","['Active Listening', 'Speaking', 'Critical Thinking', 'Writing', 'Reading Comprehension']","['Oracle Eloqua', 'Teradata Database', 'Microsoft Publisher', 'Blackbaud eTapestry', 'IBM Notes', 'YouTube', 'SmugMug Flickr', 'Slack', 'Flipgrid', 'MicroFocus GroupWise', 'Yardi software', 'Adobe After Effects', 'Airtable', 'Google Ads', 'LinkedIn', 'Microsoft SharePoint', 'Hypertext markup language HTML', 'Fund accounting software', ""Blackbaud The Raiser's Edge"", 'WordPress', 'WeVideo', 'Adobe Acrobat', 'Google Docs', 'HubSpot software', 'Mentimeter', 'Google Workspace software', 'TikTok', 'Canva', 'Adobe Distiller', 'Drupal', 'Microsoft PowerPoint', 'Apple Final Cut Pro', 'Adobe Illustrator', 'Oracle Siebel Server Sync', 'Zoom', 'Oracle PeopleSoft Financials', 'Microsoft Project', 'Microsoft Word', 'zkipster', 'Apple iDVD', 'Adobe Dreamweaver', 'Google Gmail', 'Microsoft Dynamics', 'Human resource management software HRMS', 'Social media sites', 'Google Analytics', 'Facebook', 'Adobe Photoshop', 'Salesforce software', 'MicroStrategy', 'Adobe Creative Cloud software', 'Microsoft Excel', 'Apple iMovie', 'Marketo Marketing Automation', 'Microsoft Office software', 'QuarkXPress', 'MightyScout', 'Corel WordPerfect Office Suite', 'Microsoft Access', 'Adobe PageMaker', 'Web browser software', 'Adobe InDesign', 'Google Drive', 'FileMaker Pro', 'Microsoft Outlook']","['Teradata Database', 'Slack', 'Yardi software', 'Adobe After Effects', 'Microsoft SharePoint', 'Hypertext markup language HTML', 'WordPress', 'Adobe Acrobat', 'Google Docs', 'HubSpot software', 'Google Workspace software', 'TikTok', 'Canva', 'Microsoft PowerPoint', 'Adobe Illustrator', 'Zoom', 'Microsoft Project', 'Microsoft Word', 'Google Analytics', 'Facebook', 'Adobe Photoshop', 'Salesforce software', 'Adobe Creative Cloud software', 'Microsoft Excel', 'Marketo Marketing Automation', 'Microsoft Office software', 'Microsoft Access', 'Adobe InDesign', 'Microsoft Outlook']"
11-2033.00,Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.","['Active Listening', 'Speaking', 'Critical Thinking', 'Writing', 'Reading Comprehension']","['Oracle Eloqua', 'Teradata Database', 'Microsoft Publisher', 'Blackbaud eTapestry', 'IBM Notes', 'YouTube', 'SmugMug Flickr', 'Slack', 'Flipgrid', 'MicroFocus GroupWise', 'Yardi software', 'Adobe After Effects', 'Airtable', 'Google Ads', 'LinkedIn', 'Microsoft SharePoint', 'Hypertext markup language HTML', 'Fund accounting software', ""Blackbaud The Raiser's Edge"", 'WeVideo', 'Adobe Acrobat', 'Google Docs', 'HubSpot software', 'Mentimeter', 'Adobe Distiller', 'Drupal', 'Microsoft PowerPoint', 'Apple Final Cut Pro', 'Adobe Illustrator', 'Oracle Siebel Server Sync', 'Oracle PeopleSoft Financials', 'Microsoft Project', 'Microsoft Word', 'zkipster', 'Apple iDVD', 'Adobe Dreamweaver', 'Google Gmail', 'Microsoft Dynamics', 'Human resource management software HRMS', 'Social media sites', 'Google Analytics', 'Facebook', 'Adobe Photoshop', 'Salesforce software', 'MicroStrategy', 'Adobe Creative Cloud software', 'Microsoft Excel', 'Apple iMovie', 'Marketo Marketing Automation', 'Microsoft Office software', 'QuarkXPress', 'MightyScout', 'Corel WordPerfect Office Suite', 'Microsoft Access', 'Adobe PageMaker', 'Web browser software', 'Adobe InDesign', 'Google Drive', 'FileMaker Pro', 'Microsoft Outlook']","['Teradata Database', 'Slack', 'Yardi software', 'Adobe After Effects', 'Microsoft SharePoint', 'Hypertext markup language HTML', 'Adobe Acrobat', 'Google Docs', 'HubSpot software', 'Microsoft PowerPoint', 'Adobe Illustrator', 'Microsoft Project', 'Microsoft Word', 'Google Analytics', 'Facebook', 'Adobe Photoshop', 'Salesforce software', 'Adobe Creative Cloud software', 'Microsoft Excel', 'Marketo Marketing Automation', 'Microsoft Office software', 'Microsoft Access', 'Adobe InDesign', 'Microsoft Outlook']"
11-3012.00,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.","['Active Listening', 'Speaking', 'Critical Thinking', 'Writing', 'Reading Comprehension']","['SAP Business Objects', 'Teradata Database', 'Microsoft Publisher', 'Microsoft Windows XP', 'IBM Notes', 'FileMaker Pro', 'Oracle PeopleSoft', 'Sage MAS 200 ERP', 'MicroFocus GroupWise', 'SAS', 'Yardi software', 'Microsoft SharePoint', 'LinkedIn', 'Fund accounting software', 'SAP software', 'LexisNexis', ""Blackbaud The Raiser's Edge"", 'Oracle Primavera Enterprise Project Portfolio Management', 'Adobe Acrobat', 'Google Docs', 'Minitab', 'Intuit QuickBooks', 'Sage 300 Construction and Real Estate', 'Microsoft Internet Explorer', 'GroupMe', 'Database software', 'Oracle Hyperion', 'PracticeWorks Systems Kodak WINOMS CS', 'Microsoft PowerPoint', 'Email software', 'Oracle PeopleSoft Financials', 'Microsoft Project', 'Microsoft Word', 'R', 'Medical procedure coding software', 'Microsoft Dynamics', 'IBM SPSS Statistics', 'Supervisory control and data acquisition SCADA software', 'Human resource management software HRMS', 'Microsoft Excel', 'Autodesk AutoCAD', 'Delphi Technology', 'Atlassian JIRA', 'Microsoft Office software', 'ADP Enterprise HR', 'Microsoft Visio', 'Sage 50 Accounting', 'Microsoft Access', 'SAP BusinessObjects Crystal Reports', 'Adobe PageMaker', 'Web browser software', 'ADP Workforce Now', 'Google Drive', 'IBM Power Systems software', 'Microsoft Outlook', 'Microsoft Dynamics GP']","['Teradata Database', 'Oracle PeopleSoft', 'SAS', 'Yardi software', 'Microsoft SharePoint', 'SAP software', 'Oracle Primavera Enterprise Project Portfolio Management', 'Adobe Acrobat', 'Google Docs', 'Intuit QuickBooks', 'Microsoft PowerPoint', 'Microsoft Project', 'Microsoft Word', 'R', 'IBM SPSS Statistics', 'Microsoft Excel', 'Autodesk AutoCAD', 'Atlassian JIRA', 'Microsoft Office software', 'Microsoft Visio', 'Microsoft Access', 'Microsoft Outlook']"
